"repository","url","file_type","file_path","repo_size_range","stars","commits","contributors","creation_date","last_update_date"
"genomika/geninfo","https://github.com/genomika/geninfo","YAML","docker-compose.yml.example","800..800",3,1,1,"2021-04-09T14:58:22Z","2022-02-16T15:31:27Z"
"hellwebprice/chat-app-backend","https://github.com/hellwebprice/chat-app-backend","YAML","docker-compose.yml.dev","800..800",0,1,1,"2023-08-29T19:06:08Z","2023-08-29T20:14:56Z"
"Linuswidmer/42_transcendence","https://github.com/Linuswidmer/42_transcendence","YAML","docs/TranscendenceSetup/DOCKER-COMPOSE.yml","800..800",0,1,1,"2024-01-09T14:35:30Z","2024-07-26T10:41:45Z"
"DockerIt/opencart-docker","https://github.com/DockerIt/opencart-docker","YAML","docker-compose.yml","800..800",34,1,1,"2016-06-01T12:16:13Z","2024-09-12T07:59:16Z"
"genomika/geninfo","https://github.com/genomika/geninfo","YAML","docker-compose.yml.example","800..800",3,1,1,"2021-04-09T14:58:22Z","2022-02-16T15:31:27Z"
"hellwebprice/chat-app-backend","https://github.com/hellwebprice/chat-app-backend","YAML","docker-compose.yml.dev","800..800",0,1,1,"2023-08-29T19:06:08Z","2023-08-29T20:14:56Z"
"Linuswidmer/42_transcendence","https://github.com/Linuswidmer/42_transcendence","YAML","docs/TranscendenceSetup/DOCKER-COMPOSE.yml","800..800",0,1,1,"2024-01-09T14:35:30Z","2024-07-26T10:41:45Z"
"DockerIt/opencart-docker","https://github.com/DockerIt/opencart-docker","YAML","docker-compose.yml","800..800",34,1,1,"2016-06-01T12:16:13Z","2024-09-12T07:59:16Z"
"ialnezami/DevOps","https://github.com/ialnezami/DevOps","YAML","Docker-Compose/ReactJS_ExpressJS_MySQL/Docker-compose.yml","800..800",0,1,1,"2022-04-24T09:49:44Z","2022-04-24T15:28:33Z"
"rk0325/korecare","https://github.com/rk0325/korecare","YAML","docker-compose.yml","800..800",11,1,1,"2023-12-07T14:18:49Z","2025-01-28T00:53:59Z"
"genomika/geninfo","https://github.com/genomika/geninfo","YAML","docker-compose.yml.example","800..800",3,1,1,"2021-04-09T14:58:22Z","2022-02-16T15:31:27Z"
"hellwebprice/chat-app-backend","https://github.com/hellwebprice/chat-app-backend","YAML","docker-compose.yml.dev","800..800",0,1,1,"2023-08-29T19:06:08Z","2023-08-29T20:14:56Z"
"Linuswidmer/42_transcendence","https://github.com/Linuswidmer/42_transcendence","YAML","docs/TranscendenceSetup/DOCKER-COMPOSE.yml","800..800",0,1,1,"2024-01-09T14:35:30Z","2024-07-26T10:41:45Z"
"DockerIt/opencart-docker","https://github.com/DockerIt/opencart-docker","YAML","docker-compose.yml","800..800",34,1,1,"2016-06-01T12:16:13Z","2024-09-12T07:59:16Z"
"ialnezami/DevOps","https://github.com/ialnezami/DevOps","YAML","Docker-Compose/ReactJS_ExpressJS_MySQL/Docker-compose.yml","800..800",0,1,1,"2022-04-24T09:49:44Z","2022-04-24T15:28:33Z"
"rk0325/korecare","https://github.com/rk0325/korecare","YAML","docker-compose.yml","800..800",11,1,1,"2023-12-07T14:18:49Z","2025-01-28T00:53:59Z"
"lit-datory/optimus-exercitia","https://github.com/lit-datory/optimus-exercitia","YAML","docker-compose.yml","800..800",1,1,1,"2023-09-28T16:37:57Z","2025-02-03T03:32:50Z"
"mobounya/matcha","https://github.com/mobounya/matcha","YAML","docker-compose.yml","800..800",0,1,1,"2021-11-28T22:25:03Z","2023-11-25T10:18:31Z"
"metalerk/thinkfastgame","https://github.com/metalerk/thinkfastgame","YAML","docker-compose.yml","800..800",0,1,1,"2024-09-09T11:23:20Z","2024-09-09T12:03:22Z"
"SOekd/manga-reader-backend","https://github.com/SOekd/manga-reader-backend","YAML","docker-compose.yml","800..800",0,1,1,"2024-03-08T00:49:58Z","2024-03-08T00:50:26Z"
"MarlonBBo/Project-Cine","https://github.com/MarlonBBo/Project-Cine","YAML","docker-compose.yml","800..800",1,1,1,"2024-06-25T19:19:46Z","2024-09-15T11:55:32Z"
"reyand8/Messenger","https://github.com/reyand8/Messenger","YAML","docker-compose.yml","800..800",0,1,1,"2024-11-12T07:18:14Z","2024-12-02T10:16:25Z"
"brunobarros2093/EstudosMensageriaRabbit","https://github.com/brunobarros2093/EstudosMensageriaRabbit","YAML","docker-compose.yml","800..800",0,1,1,"2025-01-24T13:44:16Z","2025-02-03T00:44:42Z"
"raccoonsw/raccoonsw.github.io","https://github.com/raccoonsw/raccoonsw.github.io","YAML","docker-compose.yml","800..800",0,1,1,"2021-07-16T17:31:04Z","2021-08-22T10:01:43Z"
"emresin12/AWS-bucket-job","https://github.com/emresin12/AWS-bucket-job","YAML","docker-compose.yml","800..800",0,1,1,"2024-05-09T10:58:20Z","2024-05-09T10:59:06Z"
"xcarol/wmm","https://github.com/xcarol/wmm","YAML","system/docker/docker-compose.yml","800..800",0,1,1,"2024-06-01T10:02:01Z","2025-01-17T18:13:37Z"
"CharlesDevif/php-objet","https://github.com/CharlesDevif/php-objet","YAML","docker/docker-compose.yml","800..800",0,1,1,"2024-11-25T15:58:02Z","2024-11-29T16:05:10Z"
"Muhongfan/MLops","https://github.com/Muhongfan/MLops","YAML","05-monitoring/taxi_monitoring/docker-compose.yml","800..800",5,1,1,"2023-06-10T13:48:52Z","2025-01-18T16:39:45Z"
"Khomsan23/Test_fullstack","https://github.com/Khomsan23/Test_fullstack","YAML","CodeTest2/docker-compose.yml","800..800",0,1,1,"2024-08-24T09:13:19Z","2024-09-04T09:51:11Z"
"unicode-community/unicode-bot","https://github.com/unicode-community/unicode-bot","YAML","docker-compose.yml","800..800",0,1,1,"2024-01-30T09:01:03Z","2024-02-20T15:32:55Z"
"kenro-t/golang-playground","https://github.com/kenro-t/golang-playground","YAML",".devcontainer/docker-compose.yml","800..800",0,1,1,"2023-12-19T14:09:10Z","2025-02-01T14:27:23Z"
"genomika/geninfo","https://github.com/genomika/geninfo","YAML","docker-compose.yml.example","800..800",3,1,1,"2021-04-09T14:58:22Z","2022-02-16T15:31:27Z"
"hellwebprice/chat-app-backend","https://github.com/hellwebprice/chat-app-backend","YAML","docker-compose.yml.dev","800..800",0,1,1,"2023-08-29T19:06:08Z","2023-08-29T20:14:56Z"
"Linuswidmer/42_transcendence","https://github.com/Linuswidmer/42_transcendence","YAML","docs/TranscendenceSetup/DOCKER-COMPOSE.yml","800..800",0,1,1,"2024-01-09T14:35:30Z","2024-07-26T10:41:45Z"
"DockerIt/opencart-docker","https://github.com/DockerIt/opencart-docker","YAML","docker-compose.yml","800..800",34,1,1,"2016-06-01T12:16:13Z","2024-09-12T07:59:16Z"
"ialnezami/DevOps","https://github.com/ialnezami/DevOps","YAML","Docker-Compose/ReactJS_ExpressJS_MySQL/Docker-compose.yml","800..800",0,1,1,"2022-04-24T09:49:44Z","2022-04-24T15:28:33Z"
